Order,Latitude,Longitude,Elevation,Time
168,42.26074,-121.74157,1474.1,
169,42.26111,-121.74158,1474.3,
170,42.26151,-121.74167,1474.2,
171,42.26168,-121.74172,1474.1,
172,42.26208,-121.74184,1474.1,
173,42.2624,-121.742,1473.5,
174,42.26276,-121.74218,1472.8,
175,42.26342,-121.74264,1470.9,
176,42.26361,-121.74277,1471.1,
177,42.26383,-121.74296,1470.5,
178,42.2639,-121.74301,1470.7,
179,42.26412,-121.74321,1470.3,
180,42.26429,-121.7434,1469.8,
181,42.26457,-121.7439,1468.1,
182,42.26487,-121.7449,1466.2,
183,42.26503,-121.74534,1463.2,
184,42.26515,-121.74558,1462.5,
185,42.26528,-121.74575,1462.4,
186,42.26537,-121.74587,1461.9,
187,42.26539,-121.74588,1462.0,
188,42.26561,-121.74607,1460.4,
189,42.26587,-121.74623,1457.8,
190,42.26607,-121.74637,1456.3,
191,42.26614,-121.74641,1455.8,
192,42.26636,-121.74656,1452.0,
193,42.26651,-121.74665,1450.6,
194,42.26662,-121.74671,1448.9,
195,42.26673,-121.74673,1446.6,
196,42.26692,-121.74676,1443.8,
197,42.2671,-121.74675,1440.9,
198,42.26723,-121.74672,1439.3,
199,42.26734,-121.74667,1438.5,
200,42.26751,-121.74658,1436.6,
201,42.26766,-121.74646,1435.8,
202,42.26775,-121.74639,1435.7,
203,42.26806,-121.74598,1431.4,
204,42.26818,-121.7459,1430.6,
205,42.26832,-121.74582,1429.9,
206,42.26851,-121.74578,1429.8,
207,42.26879,-121.74575,1430.2,
208,42.26885,-121.74574,1430.2,
209,42.26933,-121.74564,1429.1,
210,42.2695,-121.7456,1426.7,
211,42.26963,-121.74559,1425.4,
212,42.27,-121.74558,1423.5,
213,42.27024,-121.74561,1421.8,
214,42.27033,-121.74563,1420.6,
215,42.27064,-121.74568,1418.3,
216,42.27095,-121.74573,1417.3,
217,42.27125,-121.74576,1416.3,
218,42.27149,-121.74578,1417.0,
219,42.27184,-121.74581,1418.0,
220,42.27185,-121.74581,1418.0,
221,42.27203,-121.74579,1418.4,
222,42.27222,-121.74572,1418.3,
223,42.27237,-121.74562,1418.1,
224,42.27238,-121.74561,1418.1,
225,42.27258,-121.74543,1418.6,
226,42.27271,-121.7452,1418.6,
227,42.27281,-121.74495,1418.2,
228,42.27283,-121.74491,1418.1,
229,42.2729,-121.74471,1416.4,
230,42.27301,-121.74446,1414.0,
231,42.27312,-121.7443,1413.1,
232,42.27328,-121.74412,1412.1,
233,42.27357,-121.74393,1411.0,
234,42.27438,-121.74356,1405.7,
235,42.27485,-121.74341,1403.2,
236,42.27506,-121.74338,1401.6,
237,42.27514,-121.74339,1401.4,
238,42.27527,-121.7434,1400.9,
239,42.27547,-121.74344,1400.1,
240,42.27567,-121.74351,1399.3,
241,42.27594,-121.7437,1398.0,
242,42.2762,-121.74399,1397.2,
243,42.2768,-121.74491,1395.3,
244,42.27735,-121.74575,1393.2,
245,42.27762,-121.74612,1392.5,
246,42.27767,-121.74618,1392.3,
247,42.27801,-121.74644,1390.1,
248,42.2782,-121.74656,1388.3,
249,42.27856,-121.74668,1385.8,
250,42.27884,-121.74675,1385.5,
251,42.27895,-121.74678,1385.5,
252,42.27955,-121.74697,1383.7,
253,42.2803,-121.74726,1381.8,
254,42.28049,-121.74733,1381.5,
255,42.28074,-121.74742,1381.1,
256,42.28091,-121.74754,1380.9,
257,42.28109,-121.74766,1380.5,
258,42.28114,-121.74769,1380.4,
259,42.2813,-121.74782,1379.9,
260,42.28143,-121.74797,1379.6,
261,42.28147,-121.74801,1379.5,
262,42.28169,-121.74825,1378.4,
263,42.28171,-121.74828,1378.2,
264,42.28182,-121.74842,1376.8,
265,42.28196,-121.74854,1375.2,
266,42.28212,-121.74867,1373.0,
267,42.28228,-121.74878,1371.7,
268,42.28283,-121.74904,1367.8,
269,42.28288,-121.74906,1367.5,
270,42.28298,-121.74915,1367.1,
271,42.28323,-121.74934,1366.4,
272,42.28346,-121.74949,1365.0,
273,42.28351,-121.74952,1364.7,
274,42.28371,-121.74963,1363.5,
275,42.284,-121.7497,1361.2,
276,42.28415,-121.7497,1360.3,
277,42.28429,-121.74969,1359.9,
278,42.28433,-121.74969,1359.8,
279,42.28449,-121.74968,1360.2,
280,42.28464,-121.74966,1360.8,
281,42.28469,-121.74967,1361.1,
